product_id,product_name,product_url,seamless,fabric_softness,wool_present,texture_level,pressure_level,adaptive_or_sensory_claim,seamless_evidence,fabric_softness_evidence,wool_present_evidence,texture_level_evidence,pressure_level_evidence,adaptive_claim_evidence,confidence,review_notes
1,"Abby & Noah Sensory Compression Vest for Women & Men | Autism Sensory Products for Kids | Soft & Wearable Hug for Sensory Seeking | ADHD Calming Vest Black, Adult Medium",https://sensoryfair.com/product/abby-noah-sensory-compression-vest-for-women-men-autism-sensory-products-for-kids-soft-wearable-hug-for-sensory-seeking-adhd-calming-vest-black-adult-medium/,no,medium,no,unknown,medium,yes,Built to last with reinforced seams,"snug, comfortable fit",full material composition is not listed and wool is not included,,"calming, adjustable compression | customize the compression level to suit your needs","ideal for adults and children with ADHD, Anxiety, Autism, or Sensory Processing Disorder | sensory support that keeps up with your busy life",0.9,
2,Snugabye Adaptive Back Zip Convert-A-Foot Sleeper | Designed for Special Needs | Sizes Range 2-14 Years,https://sensoryfair.com/product/adaptive-back-zip-convert-a-foot-sleeper-designed-for-special-needs-sizes-range-2-14-years/,no,high,no,unknown,unknown,yes,The sleeper also features a back zipper,it is super soft and warm,Made from 100% polyester fleece,,,designed with your special needs child in mind,1.0,
3,"CBObaby Adaptive Bodysuit, Short Sleeve, Front Snap Closure, Special Needs Children and Teens",https://sensoryfair.com/product/adaptive-bodysuit-short-sleeve-front-snap-closure-special-needs-children-and-teens/,yes,high,no,unknown,medium,yes,tagless design and flat seams minimize sensory irritation,100% cotton construction offers supreme softness,100% cotton construction,,maintaining a secure fit throughout daily activities,"thoughtfully designed for children and teens with special needs | ideal choice for children with various needs, including those with sensory sensitivities",1.0,
4,EEOST Adaptive Clothing for Kids Special Needs Autism Sensory Jumpsuit Anti-Strip Romper with Back Zipper Sizes 3-16 Years,https://sensoryfair.com/product/adaptive-clothing-for-kids-special-needs-autism-sensory-jumpsuit-anti-strip-romper-with-back-zipper-sizes-3-16-years/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,adaptive clothing | sensory-friendly,0.0,
5,Benefit Wear Anti-Strip Jumpsuit Clothing for Kids with Autism | One-Piece Autistic Children Clothing,https://sensoryfair.com/product/benefit-wear-anti-strip-jumpsuit-clothing-for-kids-with-autism-one-piece-autistic-children-clothing/,unknown,medium,no,unknown,unknown,yes,,"high-quality cotton/polyester blend knit fabric which is soft, non-itchy",high-quality cotton/polyester blend,,,"perfect for kids with autism, tactile sensitivity, or sensory issues",0.9,
6,JOF Berlin Body Zipper For Kids | Blue | Onesie Bodyshort With Zipper | Adaptive Clothing For Children With Special Needs,https://sensoryfair.com/product/berlin-body-zipper-for-kids-blue-onesie-bodyshort-with-zipper-adaptive-clothing-for-children-with-special-needs/,unknown,unknown,unknown,unknown,unknown,yes,,,,,,adaptive clothing for children with special needs,0.0,
7,"Hugsmiling Body Sock Sensory Kids, Medium 27 * 47 inch, Good for Kids Height: 48~58 inch, Soft Fabric with Strong Stitching and Snap Closures (Classic Blue)",https://sensoryfair.com/product/body-sock-sensory-kids-medium-27-47-inch-good-for-kids-height-4858-inch-soft-fabric-with-strong-stitching-and-snap-closures-classic-blue/,unknown,medium,no,unknown,medium,yes,,cozy and breathable,"Material: Matte Nylon Spandex Blend, Nylon 85%, Spandex 15%",,deep pressure experience,great therapy and play tool for autism and sensory integration,1.0,
8,"Hugsmiling Body Sock Sensory Kids, Small 24 * 39 inch, Good for Kids Height 38~48 inch, Soft Fabric with Strong Stitching and Snap Closures (Classic Blue)",https://sensoryfair.com/product/body-sock-sensory-kids-small-24-39-inch-good-for-kids-height-3848-inch-soft-fabric-with-strong-stitching-and-snap-closures-classic-blue/,unknown,medium,no,unknown,medium,yes,,cozy and breathable,"Material: Matte Nylon Spandex Blend, Nylon 85%, Spandex 15%",,deep pressure experience,great therapy and play tool for autism and sensory integration,0.9,
9,DC Comics Justice League 2 Pack Adaptive T-Shirts Sensory Friendly Little Kid Sizes (4-7-8),https://sensoryfair.com/product/dc-comics-justice-league-2-pack-adaptive-t-shirts-sensory-friendly-little-kid-sizes-4-7-8/,yes,high,no,unknown,unknown,yes,flat seams | tag free design,soft 100% cotton | comfortable,100% cotton,,,designed to be comfortable for kids with sensory processing disorder,1.0,
10,TescoRu Exclusive Back-Zip Onesie – Designed with a convenient back zipper for easy diaper changes,https://sensoryfair.com/product/exclusive-back-zip-onesie-designed-with-a-convenient-back-zipper-for-easy-diaper-changes/,unknown,unknown,no,unknown,medium,unknown,,,Its stretchy fabric accommodates wear over clothing or pajamas,,designed to offer a snug embrace | consider opting for a size down for a snugger fit,,0.9,
