product_id,url_hash,source,scraped_at,product_name,product_url,short_description,full_description,category,text_for_labeling,seamless,fabric_softness,wool_present,texture_level,pressure_level,adaptive_or_sensory_claim,seamless_evidence,fabric_softness_evidence,wool_evidence,texture_evidence,pressure_evidence,adaptive_claim_evidence,labeler,label_status,review_notes
1,a5debd253afe,sensoryfair.com,,"Abby & Noah Sensory Compression Vest for Women & Men | Autism Sensory Products for Kids | Soft & Wearable Hug for Sensory Seeking | ADHD Calming Vest Black, Adult Medium",https://sensoryfair.com/product/abby-noah-sensory-compression-vest-for-women-men-autism-sensory-products-for-kids-soft-wearable-hug-for-sensory-seeking-adhd-calming-vest-black-adult-medium/,"Therapist-Designed Compression Hug: Our “wearable hug” provides comforting, hug-like sensory input ideal for adults and children with ADHD, Anxiety, Autism, or Sensory Processing Disorder. Its unique design provides calming, adjustable compression. Unlike bulky weighted blankets or Hugs, our compression Hug offers a snug, comfortable fit that feels like a hug, helping to calm and soothe. Designed to help manage sensory needs, it’s your cozy companion for school, work and everyday adventures. Move Freely: Ideal for managing ADHD, anxiety, autism, and sensory processing disorder, and it is designed to let you move naturally, so you or your child can play, learn, and explore while staying cool and relaxed. It’s sensory support that keeps up with your busy life! Adjustable Compression: With heavy-duty straps, you can customize the compression level to suit your needs, making it ideal for anyone seeking deep-pressure therapy. It’s all about finding your perfect fit.","Therapist-Designed Compression Hug: Our “wearable hug” provides comforting, hug-like sensory input ideal for adults and children with ADHD, Anxiety, Autism, or Sensory Processing Disorder. Its unique design provides calming, adjustable compression. Unlike bulky weighted blankets or Hugs, our compression Hug offers a snug, comfortable fit that feels like a hug, helping to calm and soothe. Designed to help manage sensory needs, it’s your cozy companion for school, work and everyday adventures. Move Freely: Ideal for managing ADHD, anxiety, autism, and sensory processing disorder, and it is designed to let you move naturally, so you or your child can play, learn, and explore while staying cool and relaxed. It’s sensory support that keeps up with your busy life! Adjustable Compression: With heavy-duty straps, you can customize the compression level to suit your needs, making it ideal for anyone seeking deep-pressure therapy. It’s all about finding your perfect fit. Durable and Easy to Care For: Built to last with reinforced seams also it’s machine washable, so you can keep it clean and fresh. Take It Anywhere: Our compression Hug is lightweight and portable; suitable for various activities; wear it at home, in school, on a long car ride, or during therapy sessions, and it is perfect for on-the-go use.",,"product_name: Abby & Noah Sensory Compression Vest for Women & Men | Autism Sensory Products for Kids | Soft & Wearable Hug for Sensory Seeking | ADHD Calming Vest Black, Adult Medium
short_description: Therapist-Designed Compression Hug: Our “wearable hug” provides comforting, hug-like sensory input ideal for adults and children with ADHD, Anxiety, Autism, or Sensory Processing Disorder. Its unique design provides calming, adjustable compression. Unlike bulky weighted blankets or Hugs, our compression Hug offers a snug, comfortable fit that feels like a hug, helping to calm and soothe. Designed to help manage sensory needs, it’s your cozy companion for school, work and everyday adventures. Move Freely: Ideal for managing ADHD, anxiety, autism, and sensory processing disorder, and it is designed to let you move naturally, so you or your child can play, learn, and explore while staying cool and relaxed. It’s sensory support that keeps up with your busy life! Adjustable Compression: With heavy-duty straps, you can customize the compression level to suit your needs, making it ideal for anyone seeking deep-pressure therapy. It’s all about finding your perfect fit.
full_description: Therapist-Designed Compression Hug: Our “wearable hug” provides comforting, hug-like sensory input ideal for adults and children with ADHD, Anxiety, Autism, or Sensory Processing Disorder. Its unique design provides calming, adjustable compression. Unlike bulky weighted blankets or Hugs, our compression Hug offers a snug, comfortable fit that feels like a hug, helping to calm and soothe. Designed to help manage sensory needs, it’s your cozy companion for school, work and everyday adventures. Move Freely: Ideal for managing ADHD, anxiety, autism, and sensory processing disorder, and it is designed to let you move naturally, so you or your child can play, learn, and explore while staying cool and relaxed. It’s sensory support that keeps up with your busy life! Adjustable Compression: With heavy-duty straps, you can customize the compression level to suit your needs, making it ideal for anyone seeking deep-pressure therapy. It’s all about finding your perfect fit. Durable and Easy to Care For: Built to last with reinforced seams also it’s machine washable, so you can keep it clean and fresh. Take It Anywhere: Our compression Hug is lightweight and portable; suitable for various activities; wear it at home, in school, on a long car ride, or during therapy sessions, and it is perfect for on-the-go use.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
2,eae004a58e62,sensoryfair.com,,Snugabye Adaptive Back Zip Convert-A-Foot Sleeper | Designed for Special Needs | Sizes Range 2-14 Years,https://sensoryfair.com/product/adaptive-back-zip-convert-a-foot-sleeper-designed-for-special-needs-sizes-range-2-14-years/,,"This collection was designed with your special needs child in mind. Made from 100% polyester fleece, it is super soft and warm. The sleeper also features a back zipper, which we know helps when your child is uncomfortable in clothes. There is a zipper flap and outside tags, ensuring your little one can move worry and scratch free. The sleeper is also constructed with our convert-a-foot design, allowing for footless or footed style.",,"product_name: Snugabye Adaptive Back Zip Convert-A-Foot Sleeper | Designed for Special Needs | Sizes Range 2-14 Years
full_description: This collection was designed with your special needs child in mind. Made from 100% polyester fleece, it is super soft and warm. The sleeper also features a back zipper, which we know helps when your child is uncomfortable in clothes. There is a zipper flap and outside tags, ensuring your little one can move worry and scratch free. The sleeper is also constructed with our convert-a-foot design, allowing for footless or footed style.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
3,e2520a1845e7,sensoryfair.com,,"CBObaby Adaptive Bodysuit, Short Sleeve, Front Snap Closure, Special Needs Children and Teens",https://sensoryfair.com/product/adaptive-bodysuit-short-sleeve-front-snap-closure-special-needs-children-and-teens/,,"Discover comfort and functionality with this innovative adaptive bodysuit from CBObaby. Thoughtfully designed for children and teens with special needs, this short-sleeve bodysuit features a full-length front snap closure that provides easy access for medical devices and daily care routines. The 100% cotton construction offers supreme softness and breathability, while the tagless design and flat seams minimize sensory irritation. Perfect for those who use feeding tubes or require frequent access to abdominal areas, this bodysuit allows dignified and comfortable wear without removing the entire garment. Available in inclusive sizes from 3 Month’s to 20 Years, it’s specifically created for older children who need adaptive clothing solutions. The stretchy, soft fabric ensures unrestricted movement while maintaining a secure fit throughout daily activities. This essential piece combines practicality with comfort, making it an ideal choice for children with various needs, including those with sensory sensitivities. The short sleeve design offers versatility across seasons, while the high-quality construction ensures durability through regular wear and care.",,"product_name: CBObaby Adaptive Bodysuit, Short Sleeve, Front Snap Closure, Special Needs Children and Teens
full_description: Discover comfort and functionality with this innovative adaptive bodysuit from CBObaby. Thoughtfully designed for children and teens with special needs, this short-sleeve bodysuit features a full-length front snap closure that provides easy access for medical devices and daily care routines. The 100% cotton construction offers supreme softness and breathability, while the tagless design and flat seams minimize sensory irritation. Perfect for those who use feeding tubes or require frequent access to abdominal areas, this bodysuit allows dignified and comfortable wear without removing the entire garment. Available in inclusive sizes from 3 Month’s to 20 Years, it’s specifically created for older children who need adaptive clothing solutions. The stretchy, soft fabric ensures unrestricted movement while maintaining a secure fit throughout daily activities. This essential piece combines practicality with comfort, making it an ideal choice for children with various needs, including those with sensory sensitivities. The short sleeve design offers versatility across seasons, while the high-quality construction ensures durability through regular wear and care.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
4,f42c510b8579,sensoryfair.com,,EEOST Adaptive Clothing for Kids Special Needs Autism Sensory Jumpsuit Anti-Strip Romper with Back Zipper Sizes 3-16 Years,https://sensoryfair.com/product/adaptive-clothing-for-kids-special-needs-autism-sensory-jumpsuit-anti-strip-romper-with-back-zipper-sizes-3-16-years/,,,,product_name: EEOST Adaptive Clothing for Kids Special Needs Autism Sensory Jumpsuit Anti-Strip Romper with Back Zipper Sizes 3-16 Years,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
5,f8ca563284b7,sensoryfair.com,,Benefit Wear Anti-Strip Jumpsuit Clothing for Kids with Autism | One-Piece Autistic Children Clothing,https://sensoryfair.com/product/benefit-wear-anti-strip-jumpsuit-clothing-for-kids-with-autism-one-piece-autistic-children-clothing/,,"Are you searching for the perfect nightwear or daily wear for your Child with Special-Needs? The Anti-Strip Casual Jumpsuit for autistic children is just what you need to give your child. This jumpsuit has high-quality cotton/polyester blend knit fabric which is soft, non-itchy, and perfect for wearing all day. The jumpsuit allows your kids with autism to have a very comfortable wearing experience while also helping to regulate their body temperature. Your child can wear this jumper on its own, as an undergarment. The 3/4 length sleeves help to provide protection and warmth for your arms. This autism sensory Anti-Strip jumpsuit packs numerous features that help children with special needs the most. One of the most prominent features of this jumper is that it features a long back zipper that runs from the neckline down to the waist. This large opening helps parents and caregivers have the much-needed space to provide care for autistic children. The tab and snap closures at the back neckline make it more difficult for the kids with autism to open and remove. The jumpsuit for kids helps to eliminate and discourage undressing, self toileting, or diaper removal. These Anti-Strip jumpsuits are perfect for kids with autism, tactile sensitivity, or sensory issues. The unisex style design for boys and girls made as the jumpsuit are available in both masculine and feminine colors. Available Sizes: S(6-8), M(10-12), L(14-16), and XL(18)",,"product_name: Benefit Wear Anti-Strip Jumpsuit Clothing for Kids with Autism | One-Piece Autistic Children Clothing
full_description: Are you searching for the perfect nightwear or daily wear for your Child with Special-Needs? The Anti-Strip Casual Jumpsuit for autistic children is just what you need to give your child. This jumpsuit has high-quality cotton/polyester blend knit fabric which is soft, non-itchy, and perfect for wearing all day. The jumpsuit allows your kids with autism to have a very comfortable wearing experience while also helping to regulate their body temperature. Your child can wear this jumper on its own, as an undergarment. The 3/4 length sleeves help to provide protection and warmth for your arms. This autism sensory Anti-Strip jumpsuit packs numerous features that help children with special needs the most. One of the most prominent features of this jumper is that it features a long back zipper that runs from the neckline down to the waist. This large opening helps parents and caregivers have the much-needed space to provide care for autistic children. The tab and snap closures at the back neckline make it more difficult for the kids with autism to open and remove. The jumpsuit for kids helps to eliminate and discourage undressing, self toileting, or diaper removal. These Anti-Strip jumpsuits are perfect for kids with autism, tactile sensitivity, or sensory issues. The unisex style design for boys and girls made as the jumpsuit are available in both masculine and feminine colors. Available Sizes: S(6-8), M(10-12), L(14-16), and XL(18)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
6,a9b4afa4078d,sensoryfair.com,,JOF Berlin Body Zipper For Kids | Blue | Onesie Bodyshort With Zipper | Adaptive Clothing For Children With Special Needs,https://sensoryfair.com/product/berlin-body-zipper-for-kids-blue-onesie-bodyshort-with-zipper-adaptive-clothing-for-children-with-special-needs/,,,,product_name: JOF Berlin Body Zipper For Kids | Blue | Onesie Bodyshort With Zipper | Adaptive Clothing For Children With Special Needs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
7,bb1bb63d4136,sensoryfair.com,,"Hugsmiling Body Sock Sensory Kids, Medium 27 * 47 inch, Good for Kids Height: 48~58 inch, Soft Fabric with Strong Stitching and Snap Closures (Classic Blue)",https://sensoryfair.com/product/body-sock-sensory-kids-medium-27-47-inch-good-for-kids-height-4858-inch-soft-fabric-with-strong-stitching-and-snap-closures-classic-blue/,"Our 4-way stretch sensory body sock is an all round movement, proprioceptive, tactile and deep pressure experience. Sizes for your choice: Small for height 38~48 inch, Medium for height 48~58 inch, Large for height 58~68 inch, X Large for 68~75 inch A must-have as part of your home, clinic or school based sensory program. Kids body sock is a great therapy and play tool for autism and sensory integration US CPSC CERTIFIED- Hugsmiling kids sensory body sock is certified by the US Consumer Product Safety Commission to be safe for use by kids and adults. It comes with a product course to help you get started with fun.","Our 4-way stretch sensory body sock is an all round movement, proprioceptive, tactile and deep pressure experience. Sizes for your choice: Small for height 38~48 inch, Medium for height 48~58 inch, Large for height 58~68 inch, X Large for 68~75 inch A must-have as part of your home, clinic or school based sensory program. Kids body sock is a great therapy and play tool for autism and sensory integration US CPSC CERTIFIED- Hugsmiling kids sensory body sock is certified by the US Consumer Product Safety Commission to be safe for use by kids and adults. It comes with a product course to help you get started with fun. Material: Matte Nylon Spandex Blend, Nylon 85%, Spandex 15% which is cozy and breathable. Machine Washable Color: Classic Blue",,"product_name: Hugsmiling Body Sock Sensory Kids, Medium 27 * 47 inch, Good for Kids Height: 48~58 inch, Soft Fabric with Strong Stitching and Snap Closures (Classic Blue)
short_description: Our 4-way stretch sensory body sock is an all round movement, proprioceptive, tactile and deep pressure experience. Sizes for your choice: Small for height 38~48 inch, Medium for height 48~58 inch, Large for height 58~68 inch, X Large for 68~75 inch A must-have as part of your home, clinic or school based sensory program. Kids body sock is a great therapy and play tool for autism and sensory integration US CPSC CERTIFIED- Hugsmiling kids sensory body sock is certified by the US Consumer Product Safety Commission to be safe for use by kids and adults. It comes with a product course to help you get started with fun.
full_description: Our 4-way stretch sensory body sock is an all round movement, proprioceptive, tactile and deep pressure experience. Sizes for your choice: Small for height 38~48 inch, Medium for height 48~58 inch, Large for height 58~68 inch, X Large for 68~75 inch A must-have as part of your home, clinic or school based sensory program. Kids body sock is a great therapy and play tool for autism and sensory integration US CPSC CERTIFIED- Hugsmiling kids sensory body sock is certified by the US Consumer Product Safety Commission to be safe for use by kids and adults. It comes with a product course to help you get started with fun. Material: Matte Nylon Spandex Blend, Nylon 85%, Spandex 15% which is cozy and breathable. Machine Washable Color: Classic Blue",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
8,f2b0fadc0355,sensoryfair.com,,"Hugsmiling Body Sock Sensory Kids, Small 24 * 39 inch, Good for Kids Height 38~48 inch, Soft Fabric with Strong Stitching and Snap Closures (Classic Blue)",https://sensoryfair.com/product/body-sock-sensory-kids-small-24-39-inch-good-for-kids-height-3848-inch-soft-fabric-with-strong-stitching-and-snap-closures-classic-blue/,"Our 4-way stretch sensory body sock is an all round movement, proprioceptive, tactile and deep pressure experience. Sizes for your choice: Small for height 38~48 inch, Medium for height 48~58 inch, Large for height 58~68 inch, X Large for 68~75 inch A must-have as part of your home, clinic or school based sensory program. Kids body sock is a great therapy and play tool for autism and sensory integration US CPSC CERTIFIED- Hugsmiling kids sensory body sock is certified by the US Consumer Product Safety Commission to be safe for use by kids and adults. It comes with a product course to help you get started with fun.","Our 4-way stretch sensory body sock is an all round movement, proprioceptive, tactile and deep pressure experience. Sizes for your choice: Small for height 38~48 inch, Medium for height 48~58 inch, Large for height 58~68 inch, X Large for 68~75 inch A must-have as part of your home, clinic or school based sensory program. Kids body sock is a great therapy and play tool for autism and sensory integration US CPSC CERTIFIED- Hugsmiling kids sensory body sock is certified by the US Consumer Product Safety Commission to be safe for use by kids and adults. It comes with a product course to help you get started with fun. Material: Matte Nylon Spandex Blend, Nylon 85%, Spandex 15% which is cozy and breathable. Machine Washable Color: Classic Blue",,"product_name: Hugsmiling Body Sock Sensory Kids, Small 24 * 39 inch, Good for Kids Height 38~48 inch, Soft Fabric with Strong Stitching and Snap Closures (Classic Blue)
short_description: Our 4-way stretch sensory body sock is an all round movement, proprioceptive, tactile and deep pressure experience. Sizes for your choice: Small for height 38~48 inch, Medium for height 48~58 inch, Large for height 58~68 inch, X Large for 68~75 inch A must-have as part of your home, clinic or school based sensory program. Kids body sock is a great therapy and play tool for autism and sensory integration US CPSC CERTIFIED- Hugsmiling kids sensory body sock is certified by the US Consumer Product Safety Commission to be safe for use by kids and adults. It comes with a product course to help you get started with fun.
full_description: Our 4-way stretch sensory body sock is an all round movement, proprioceptive, tactile and deep pressure experience. Sizes for your choice: Small for height 38~48 inch, Medium for height 48~58 inch, Large for height 58~68 inch, X Large for 68~75 inch A must-have as part of your home, clinic or school based sensory program. Kids body sock is a great therapy and play tool for autism and sensory integration US CPSC CERTIFIED- Hugsmiling kids sensory body sock is certified by the US Consumer Product Safety Commission to be safe for use by kids and adults. It comes with a product course to help you get started with fun. Material: Matte Nylon Spandex Blend, Nylon 85%, Spandex 15% which is cozy and breathable. Machine Washable Color: Classic Blue",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
9,1cf18d127421,sensoryfair.com,,DC Comics Justice League 2 Pack Adaptive T-Shirts Sensory Friendly Little Kid Sizes (4-7-8),https://sensoryfair.com/product/dc-comics-justice-league-2-pack-adaptive-t-shirts-sensory-friendly-little-kid-sizes-4-7-8/,,"Your little hero is ready for an exciting comic book adventure in these cute and comfy DC Comics sensory friendly tshirts! This adorable pack of 2 adaptive short sleeve shirts is designed to be comfortable for kids with sensory processing disorder and sensitive skin with flat seams, a wider neck opening and hem, and a tag free design. Made of soft 100% cotton for all-day comfort, these stylish Justice League sensory tees feature vibrant Superman and Batman logo artwork that your superhero fan will be excited to wear!",,"product_name: DC Comics Justice League 2 Pack Adaptive T-Shirts Sensory Friendly Little Kid Sizes (4-7-8)
full_description: Your little hero is ready for an exciting comic book adventure in these cute and comfy DC Comics sensory friendly tshirts! This adorable pack of 2 adaptive short sleeve shirts is designed to be comfortable for kids with sensory processing disorder and sensitive skin with flat seams, a wider neck opening and hem, and a tag free design. Made of soft 100% cotton for all-day comfort, these stylish Justice League sensory tees feature vibrant Superman and Batman logo artwork that your superhero fan will be excited to wear!",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
10,612f3222cb82,sensoryfair.com,,TescoRu Exclusive Back-Zip Onesie – Designed with a convenient back zipper for easy diaper changes,https://sensoryfair.com/product/exclusive-back-zip-onesie-designed-with-a-convenient-back-zipper-for-easy-diaper-changes/,,"*** Helpful Tips *** Our Back-Zip Onesie is designed to offer a snug embrace. Its stretchy fabric accommodates wear over clothing or pajamas without necessitating a larger size. Should it feel too loose, consider opting for a size down for a snugger fit. The back zipper opens fully, catering to unique needs. We recommend partially zipping up (approximately 10%) before dressing your child to facilitate effortless dressing.",,"product_name: TescoRu Exclusive Back-Zip Onesie – Designed with a convenient back zipper for easy diaper changes
full_description: *** Helpful Tips *** Our Back-Zip Onesie is designed to offer a snug embrace. Its stretchy fabric accommodates wear over clothing or pajamas without necessitating a larger size. Should it feel too loose, consider opting for a size down for a snugger fit. The back zipper opens fully, catering to unique needs. We recommend partially zipping up (approximately 10%) before dressing your child to facilitate effortless dressing.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,unlabeled,
